RedFighter,BlueFighter,Date,Location,Country,WeightClass,Gender,NumberOfRounds,TitleBout,Winner,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RMatchWCRank,BMatchWCRank,RPFPRank,BPFPRank,RedStanceEncoded,BlueStanceEncoded,Target
Kenny Florian,Takanori Gomi,2010-03-31,"Charlotte, North Carolina, USA", USA,Lightweight,MALE,3,0,Red,-360.0,300.0,27.7778,300.0,0,1,0,23.6154,0.491,0.8462,1.5385,0.475,6,3,28,3,0,0,1,2,6,1,10,Southpaw,177.8,187.96,145,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,177.8,155,7.0,9.0,6.0,10.0,1,1,1.0
Roy Nelson,Stefan Struve,2010-03-31,"Charlotte, North Carolina, USA", USA,Heavyweight,MALE,3,0,Red,-350.0,290.0,28.5714,290.0,0,1,0,8.0,0.22,0.0,1.0,0.5,1,0,1,1,0,0,0,1,0,0,1,Orthodox,182.88,182.88,263,0,3,0,17.5,0.468,3.0,0.5,0.5,3,1,7,0,1,0,0,0,2,0,3,Orthodox,210.82,213.36,265,7.0,9.0,6.0,10.0,0,0,1.0
Nate Quarry,Jorge Rivera,2010-03-31,"Charlotte, North Carolina, USA", USA,Middleweight,MALE,3,0,Blue,-230.0,190.0,43.4783,190.0,0,2,0,31.0,0.389,0.0,0.1111,0.111,3,2,15,1,0,0,2,5,0,0,7,Open Stance,182.88,182.88,185,0,2,0,28.1818,0.532,0.0909,0.5455,0.182,2,5,21,0,0,1,2,3,0,0,6,Orthodox,185.42,185.42,185,7.0,9.0,6.0,10.0,3,0,0.0
Ross Pearson,Dennis Siver,2010-03-31,"Charlotte, North Carolina, USA", USA,Lightweight,MALE,3,0,Red,-220.0,180.0,45.4545,180.0,0,2,0,66.5,0.525,0.0,0.0,0.0,2,0,5,1,0,0,1,0,0,1,2,Orthodox,172.72,175.26,155,0,3,0,20.0,0.329,0.2857,0.2857,0.214,3,3,13,0,0,0,0,3,1,0,4,Orthodox,167.64,177.8,145,7.0,9.0,6.0,10.0,0,0,1.0
Andre Winner,Rafaello Oliveira,2010-03-31,"Charlotte, North Carolina, USA", USA,Lightweight,MALE,3,0,Red,-190.0,165.0,52.6316,165.0,0,1,0,30.0,0.515,0.0,0.0,0.0,1,1,4,1,0,0,0,1,0,0,1,Orthodox,180.34,185.42,155,0,1,0,25.0,0.36,2.0,5.0,0.71,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,180.34,155,7.0,9.0,6.0,10.0,0,0,1.0
Charlie Brenneman,Jason High,2010-03-31,"Charlotte, North Carolina, USA", USA,Welterweight,MALE,3,0,Red,173.0,-205.0,173.0,48.7805,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,172.72,180.34,155,7.0,9.0,6.0,10.0,0,1,1.0
Rob Emerson,Nik Lentz,2010-03-31,"Charlotte, North Carolina, USA", USA,Lightweight,MALE,3,0,Blue,130.0,-150.0,130.0,66.6667,0,1,0,26.8333,0.427,0.1667,1.6667,0.338,2,3,14,0,0,1,1,1,0,0,3,Orthodox,175.26,177.8,155,1,0,0,69.0,0.415,2.5,4.0,0.55,1,1,6,0,0,0,1,0,0,0,1,Orthodox,172.72,172.72,155,7.0,9.0,6.0,10.0,0,0,0.0
Caol Uno,Gleison Tibau,2010-03-31,"Charlotte, North Carolina, USA", USA,Lightweight,MALE,3,0,Blue,270.0,-330.0,270.0,30.303,4,0,0,28.8889,0.494,0.2222,2.2222,0.342,2,6,26,2,0,0,2,1,0,0,3,Southpaw,170.18,177.8,155,0,1,0,13.0,0.354,1.0,4.7,0.552,3,4,24,0,0,0,4,0,2,0,6,Southpaw,177.8,180.34,155,7.0,9.0,6.0,10.0,1,1,0.0
Yushin Okami,Lucio Linhares,2010-03-31,"Charlotte, North Carolina, USA", USA,Middleweight,MALE,3,0,Red,-650.0,475.0,15.3846,475.0,1,0,0,29.1111,0.396,0.8889,1.8889,0.443,4,2,26,0,0,0,4,3,0,0,7,Southpaw,187.96,190.5,170,1,0,0,8.0,0.29,2.0,2.0,1.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,187.96,189.2,185,7.0,9.0,6.0,10.0,1,0,1.0
Gerald Harris,Mario Miranda,2010-03-31,"Charlotte, North Carolina, USA", USA,Middleweight,MALE,3,0,Red,-155.0,135.0,64.5161,135.0,0,1,0,21.0,0.25,0.0,1.0,0.5,1,0,3,0,0,0,0,1,0,0,1,Southpaw,180.34,195.58,185,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,187.96,185,7.0,9.0,6.0,10.0,1,0,1.0
