RedFighter,BlueFighter,Date,Location,Country,WeightClass,Gender,NumberOfRounds,TitleBout,Winner,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RMatchWCRank,BMatchWCRank,RPFPRank,BPFPRank,RedStanceEncoded,BlueStanceEncoded,Target
Francis Ngannou,Derrick Lewis,2018-07-07,"Las Vegas, Nevada, USA", USA,Heavyweight,MALE,3,0,Blue,-310.0,255.0,32.2581,255.0,1,0,0,15.0,0.511,0.2857,0.0,0.0,6,1,13,1,0,0,0,4,1,1,6,Orthodox,193.04,210.82,250,0,1,0,27.3846,0.566,0.0,0.3846,0.256,6,3,28,0,0,1,0,9,0,0,10,Orthodox,190.5,200.66,260,1.0,5.0,6.0,10.0,0,0,0.0
Paul Felder,Mike Perry,2018-07-07,"Las Vegas, Nevada, USA", USA,Welterweight,MALE,3,0,Blue,-170.0,150.0,58.8235,150.0,0,3,0,38.8,0.463,0.3,0.3,0.15,3,3,24,0,0,1,1,4,1,0,7,Orthodox,180.34,177.8,155,2,0,0,41.5714,0.471,0.0,0.2857,0.179,2,3,16,0,0,0,0,4,0,0,4,Orthodox,177.8,180.34,170,7.0,9.0,6.0,10.0,0,0,0.0
Gokhan Saki,Khalil Rountree Jr.,2018-07-07,"Las Vegas, Nevada, USA", USA,Light Heavyweight,MALE,3,0,Blue,-160.0,140.0,62.5,140.0,0,1,0,40.0,0.6,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,182.88,185.42,205,1,0,0,17.4,0.504,0.2,0.0,0.0,2,3,9,1,0,0,0,2,0,0,2,Southpaw,185.42,193.04,205,7.0,9.0,6.0,10.0,0,1,0.0
Raphael Assuncao,Rob Font,2018-07-07,"Las Vegas, Nevada, USA", USA,Bantamweight,MALE,3,0,Red,-140.0,120.0,71.4286,120.0,0,3,0,46.5833,0.415,0.1667,0.9167,0.192,7,2,32,0,0,3,4,2,1,0,10,Orthodox,165.1,167.64,135,0,1,0,38.7143,0.479,0.5714,0.7143,0.29,2,2,12,0,0,0,0,4,1,0,5,Orthodox,172.72,180.34,135,3.0,11.0,6.0,10.0,0,0,1.0
Uriah Hall,Paulo Costa,2018-07-07,"Las Vegas, Nevada, USA", USA,Middleweight,MALE,3,0,Blue,245.0,-290.0,245.0,34.4828,0,1,0,27.5,0.541,0.1667,0.5833,0.27,3,6,24,1,0,0,1,3,0,2,6,Orthodox,182.88,200.66,185,0,3,0,38.0,0.583,0.0,0.0,0.0,3,0,5,0,0,0,0,3,0,0,3,Orthodox,185.42,182.88,185,9.0,10.0,6.0,10.0,0,0,0.0
Lando Vannata,Drakkar Klose,2018-07-07,"Las Vegas, Nevada, USA", USA,Lightweight,MALE,3,0,Blue,-200.0,170.0,50.0,170.0,2,0,0,57.5,0.41,0.25,1.25,0.45,1,3,9,0,0,0,0,1,0,0,1,Orthodox,175.26,180.34,155,1,0,0,53.5,0.5,0.0,2.0,0.64,1,1,6,0,0,0,1,0,0,0,1,Orthodox,175.26,177.8,155,7.0,9.0,6.0,10.0,0,0,0.0
Curtis Millender,Max Griffin,2018-07-07,"Las Vegas, Nevada, USA", USA,Welterweight,MALE,3,0,Red,-170.0,150.0,58.8235,150.0,0,1,0,47.0,0.44,0.0,0.0,0.0,1,0,2,0,0,0,0,1,0,0,1,Orthodox,187.96,193.04,170,0,1,0,39.25,0.428,0.25,0.0,0.0,1,2,10,0,0,0,1,1,0,0,2,Orthodox,180.34,193.04,170,7.0,9.0,6.0,10.0,0,0,1.0
Dan Hooker,Gilbert Burns,2018-07-07,"Las Vegas, Nevada, USA", USA,Lightweight,MALE,3,0,Red,-115.0,-105.0,86.9565,95.2381,0,3,0,34.7778,0.457,0.2222,0.3333,0.11,3,3,19,0,0,0,0,4,2,0,6,Switch,182.88,190.5,155,0,2,0,28.5,0.411,0.625,1.625,0.514,3,2,18,0,0,0,1,2,3,0,6,Orthodox,177.8,180.34,155,7.0,9.0,6.0,10.0,2,0,1.0
Jamie Moyle,Emily Whitmire,2018-07-07,"Las Vegas, Nevada, USA", USA,Women's Strawweight,FEMALE,3,0,Blue,-185.0,160.0,54.0541,160.0,1,0,0,76.5,0.555,0.0,1.5,0.15,1,1,6,0,0,0,1,0,0,0,1,Orthodox,154.94,165.1,115,1,0,0,9.0,0.6,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,165.1,160.02,115,7.0,9.0,6.0,10.0,0,0,0.0
Junior Dos Santos,Blagoy Ivanov,2018-07-14,"Boise, Idaho, USA", USA,Heavyweight,MALE,5,0,Red,-190.0,165.0,52.6316,165.0,1,0,0,56.1875,0.526,0.0625,0.3125,0.219,9,4,42,5,0,0,4,8,0,0,12,Orthodox,193.04,195.58,238,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,180.34,185.42,250,8.0,9.0,6.0,10.0,0,1,1.0
Sage Northcutt,Zak Ottow,2018-07-14,"Boise, Idaho, USA", USA,Welterweight,MALE,3,0,Red,-125.0,-105.0,80.0,95.2381,0,2,0,34.7143,0.581,0.2857,1.1429,0.416,2,2,16,0,0,0,3,1,1,0,5,Orthodox,182.88,180.34,170,0,1,0,34.6,0.39,0.2,0.4,0.132,1,2,11,0,0,2,0,1,0,0,3,Orthodox,180.34,182.88,170,7.0,9.0,6.0,10.0,0,0,1.0
Dennis Bermudez,Rick Glenn,2018-07-14,"Boise, Idaho, USA", USA,Featherweight,MALE,3,0,Blue,-185.0,160.0,54.0541,160.0,3,0,0,51.0,0.46,0.8,2.6667,0.387,7,6,36,1,0,2,4,1,2,0,9,Orthodox,167.64,167.64,155,1,0,0,66.5,0.393,0.25,1.0,0.143,2,2,12,0,0,1,1,0,0,0,2,Southpaw,182.88,177.8,145,7.0,9.0,6.0,10.0,0,1,0.0
Randy Brown,Niko Price,2018-07-14,"Boise, Idaho, USA", USA,Welterweight,MALE,3,0,Blue,-130.0,110.0,76.9231,110.0,0,1,0,34.1667,0.467,0.5,0.6667,0.43,2,2,16,0,0,0,2,1,1,0,4,Orthodox,190.5,198.12,170,0,1,0,17.6,0.368,1.0,0.6,0.13,1,2,8,0,0,0,0,1,2,0,3,Orthodox,182.88,193.04,170,7.0,9.0,6.0,10.0,0,0,0.0
Myles Jury,Chad Mendes,2018-07-14,"Boise, Idaho, USA", USA,Featherweight,MALE,3,0,Blue,100.0,-120.0,100.0,83.3333,0,2,0,24.8,0.378,0.2,1.6,0.496,6,2,21,0,0,1,3,3,1,0,8,Orthodox,177.8,185.42,145,2,0,0,28.0,0.574,0.1667,2.0,0.283,5,4,25,3,0,0,3,5,0,0,8,Orthodox,167.64,167.64,145,12.0,9.0,6.0,10.0,0,0,0.0
Cat Zingano,Marion Reneau,2018-07-14,"Boise, Idaho, USA", USA,Women's Bantamweight,FEMALE,3,0,Red,-110.0,-110.0,90.9091,90.9091,3,0,0,29.0,0.502,0.8,1.4,0.55,2,3,13,1,0,0,0,2,0,0,2,Southpaw,167.64,172.72,145,0,2,0,46.625,0.424,1.125,0.25,0.25,2,3,21,0,0,0,1,2,2,0,5,Orthodox,167.64,172.72,135,6.0,7.0,6.0,10.0,1,0,1.0
Darren Elkins,Alexander Volkanovski,2018-07-14,"Boise, Idaho, USA", USA,Featherweight,MALE,3,0,Blue,180.0,-220.0,180.0,45.4545,0,6,0,35.9444,0.328,1.1667,2.1111,0.344,6,4,45,0,0,2,8,3,1,0,14,Orthodox,177.8,180.34,145,0,4,0,69.5,0.615,0.0,3.5,0.645,4,0,10,0,0,0,2,2,0,0,4,Orthodox,167.64,180.34,145,10.0,9.0,6.0,10.0,0,0,0.0
Justin Scoggins,Said Nurmagomedov,2018-07-14,"Boise, Idaho, USA", USA,Flyweight,MALE,3,0,Blue,-105.0,-115.0,95.2381,86.9565,2,0,0,40.875,0.583,0.375,2.875,0.693,2,4,19,0,0,0,3,1,0,0,4,Southpaw,170.18,167.64,125,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,135,7.0,9.0,6.0,10.0,1,0,0.0
Kurt Holobaugh,Raoni Barcelos,2018-07-14,"Boise, Idaho, USA", USA,Featherweight,MALE,3,0,Blue,-165.0,145.0,60.6061,145.0,1,0,0,41.0,0.44,2.0,1.0,0.5,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,177.8,155,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,7.0,9.0,6.0,10.0,0,0,0.0
Liz Carmouche,Jennifer Maia,2018-07-14,"Boise, Idaho, USA", USA,Women's Flyweight,FEMALE,3,0,Red,-115.0,-105.0,86.9565,95.2381,1,0,0,32.7143,0.566,0.2857,2.7143,0.647,2,4,18,1,0,1,1,1,0,0,3,Orthodox,167.64,167.64,125,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,162.56,162.56,125,7.0,9.0,6.0,10.0,0,0,1.0
Mark De La Rosa,Elias Garcia,2018-07-14,"Boise, Idaho, USA", USA,Flyweight,MALE,3,0,Red,115.0,-135.0,115.0,74.0741,1,0,0,2.0,0.5,0.0,0.0,0.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,165.1,170.18,125,7.0,9.0,6.0,10.0,0,1,1.0
Jessica Aguilar,Jodie Esquibel,2018-07-14,"Boise, Idaho, USA", USA,Women's Strawweight,FEMALE,3,0,Red,150.0,-170.0,150.0,58.8235,2,0,0,63.5,0.45,0.0,2.0,0.4,0,2,6,0,0,0,0,0,0,0,0,Orthodox,160.02,160.02,115,1,0,0,65.0,0.37,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,154.94,162.56,115,7.0,9.0,6.0,10.0,0,0,1.0
Eddie Wineland,Alejandro Perez,2018-07-14,"Boise, Idaho, USA", USA,Bantamweight,MALE,3,0,Blue,155.0,-175.0,155.0,57.1429,1,0,0,34.6364,0.256,0.0,0.1818,0.121,2,6,26,1,0,1,0,4,0,0,5,Orthodox,170.18,175.26,135,0,3,0,38.625,0.361,0.125,0.375,0.124,3,2,18,1,0,1,2,3,0,0,6,Orthodox,167.64,170.18,135,15.0,13.0,6.0,10.0,0,0,0.0
Mauricio Rua,Anthony Smith,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Light Heavyweight,MALE,5,0,Blue,-150.0,130.0,66.6667,130.0,0,3,0,40.8235,0.509,0.2353,1.2353,0.228,3,8,44,3,0,1,1,7,0,0,9,Orthodox,185.42,193.04,205,0,1,0,30.375,0.471,0.25,0.375,0.091,3,3,18,0,0,0,1,4,0,0,5,Orthodox,193.04,193.04,205,8.0,9.0,6.0,10.0,0,0,0.0
Glover Teixeira,Corey Anderson,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Light Heavyweight,MALE,3,0,Blue,-120.0,100.0,83.3333,100.0,0,1,0,32.9286,0.453,0.4286,1.4286,0.393,5,4,32,1,0,0,2,4,3,1,10,Orthodox,187.96,193.04,205,0,1,0,54.5455,0.484,0.0,4.0909,0.545,3,4,28,1,0,0,5,2,0,0,7,Orthodox,190.5,200.66,205,3.0,9.0,6.0,10.0,0,0,0.0
Vitor Miranda,Abu Azaitar,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Middleweight,MALE,3,0,Blue,175.0,-210.0,175.0,47.619,2,0,0,36.0,0.517,0.0,0.3333,0.25,3,3,14,1,0,0,0,3,0,0,3,Orthodox,185.42,195.58,185,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,193.04,185,7.0,9.0,6.0,10.0,0,0,0.0
Marcin Tybura,Stefan Struve,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Heavyweight,MALE,3,0,Red,-190.0,165.0,52.6316,165.0,2,0,0,54.6667,0.527,0.1667,1.0,0.498,3,3,19,0,0,0,1,2,0,0,3,Orthodox,190.5,198.12,249,2,0,0,24.4,0.452,1.0,0.3,0.225,4,8,38,0,1,0,1,5,5,0,12,Orthodox,210.82,213.36,265,9.0,13.0,6.0,10.0,0,0,1.0
Danny Roberts,David Zawada,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Welterweight,MALE,3,0,Red,-210.0,175.0,47.619,175.0,0,1,0,29.3333,0.363,0.1667,0.0,0.0,2,2,11,0,0,0,1,2,1,0,4,Southpaw,185.42,187.96,170,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,7.0,9.0,6.0,10.0,1,0,1.0
Nasrat Haqparast,Marc Diakiese,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Lightweight,MALE,3,0,Red,140.0,-160.0,140.0,62.5,1,0,0,27.0,0.36,0.0,1.0,1.0,0,1,3,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,1,0,0,21.75,0.465,0.0,1.75,0.365,3,1,9,0,0,0,1,2,0,0,3,Orthodox,177.8,185.42,155,7.0,9.0,6.0,10.0,1,0,1.0
Emil Meek,Bartosz Fabinski,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Welterweight,MALE,3,0,Blue,-140.0,120.0,71.4286,120.0,1,0,0,40.0,0.405,1.5,0.5,0.25,1,1,6,0,0,0,1,0,0,0,1,Switch,180.34,187.96,170,0,2,0,33.0,0.705,0.0,8.0,0.72,2,0,6,0,0,0,2,0,0,0,2,Orthodox,182.88,190.5,170,7.0,9.0,6.0,10.0,2,0,0.0
Khalid Taha,Nad Narimani,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Featherweight,MALE,3,0,Blue,180.0,-220.0,180.0,45.4545,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,175.26,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,172.72,177.8,145,7.0,9.0,6.0,10.0,0,0,0.0
Justin Ledet,Aleksandar Rakic,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Light Heavyweight,MALE,3,0,Blue,-105.0,-115.0,95.2381,86.9565,0,3,0,50.6667,0.347,0.3333,0.3333,0.333,3,0,7,0,0,1,1,0,1,0,3,Orthodox,193.04,203.2,205,0,1,0,46.0,0.3,0.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,193.04,198.12,205,7.0,9.0,6.0,10.0,0,0,0.0
Davey Grant,Manny Bermudez,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Bantamweight,MALE,3,0,Blue,260.0,-320.0,260.0,31.25,1,0,0,42.0,0.493,0.0,1.0,0.4,1,2,8,1,0,0,1,0,0,0,1,Orthodox,172.72,175.26,135,0,1,0,12.0,0.42,3.0,1.0,0.2,1,0,2,0,0,0,0,0,1,0,1,Orthodox,177.8,180.34,135,7.0,9.0,6.0,10.0,0,0,0.0
Jeremy Kimball,Darko Stosic,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Light Heavyweight,MALE,3,0,Blue,190.0,-230.0,190.0,43.4783,1,0,0,8.6667,0.543,0.0,0.3333,0.083,1,2,3,0,0,0,0,1,0,0,1,Switch,182.88,182.88,205,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,193.04,205,7.0,9.0,6.0,10.0,2,0,0.0
Damian Stasiak,Liu Pingyuan,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Bantamweight,MALE,3,0,Blue,-125.0,105.0,80.0,105.0,2,0,0,22.6,0.436,0.6,2.0,0.474,2,3,13,0,0,0,0,0,2,0,2,Orthodox,165.1,177.8,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,182.88,135,7.0,9.0,6.0,10.0,0,0,0.0
Nick Hein,Damir Hadzovic,2018-07-22,"Hamburg, Hamburg, Germany", Germany,Lightweight,MALE,3,0,Blue,-150.0,130.0,66.6667,130.0,1,0,0,32.6667,0.335,0.0,0.8333,0.177,3,2,16,0,0,0,4,0,0,0,4,Southpaw,167.64,167.64,155,1,0,0,15.0,0.503,0.3333,0.0,0.0,1,2,7,0,0,0,0,1,0,0,1,Orthodox,175.26,177.8,155,7.0,9.0,6.0,10.0,1,0,0.0
Eddie Alvarez,Dustin Poirier,2018-07-28,"Calgary, Alberta, Canada", Canada,Lightweight,MALE,5,0,Blue,135.0,-155.0,135.0,64.5161,0,1,0,53.4286,0.404,0.0,1.7143,0.25,3,3,17,2,0,2,0,2,0,0,4,Orthodox,175.26,175.26,155,0,2,0,52.3,0.501,0.55,1.2,0.267,4,5,43,0,1,0,4,7,3,0,15,Southpaw,175.26,182.88,155,3.0,4.0,6.0,10.0,0,1,0.0
Jose Aldo,Jeremy Stephens,2018-07-28,"Calgary, Alberta, Canada", Canada,Featherweight,MALE,3,0,Red,100.0,-120.0,100.0,83.3333,2,0,0,59.1818,0.422,0.2727,1.0909,0.216,7,3,42,11,0,0,6,2,0,0,8,Orthodox,170.18,177.8,145,0,3,0,38.0714,0.441,0.3571,0.9643,0.253,3,13,75,0,0,1,6,7,0,1,15,Orthodox,172.72,180.34,145,2.0,4.0,6.0,10.0,0,0,1.0
Joanna Jedrzejczyk,Tecia Torres,2018-07-28,"Calgary, Alberta, Canada", Canada,Women's Strawweight,FEMALE,3,0,Red,-320.0,260.0,31.25,260.0,2,0,0,120.5,0.431,0.0,0.2,0.15,8,2,37,8,0,1,5,2,0,0,8,Orthodox,167.64,165.1,125,1,0,0,65.75,0.503,0.125,0.875,0.395,3,2,23,0,0,0,5,0,1,0,6,Orthodox,154.94,152.4,115,1.0,5.0,6.0,10.0,0,0,1.0
Alexander Hernandez,Olivier Aubin-Mercier,2018-07-28,"Calgary, Alberta, Canada", Canada,Lightweight,MALE,3,0,Red,-110.0,-110.0,90.9091,90.9091,0,1,0,8.0,0.61,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Orthodox,175.26,182.88,155,0,4,0,31.2222,0.538,0.4444,2.3333,0.284,4,2,23,1,0,1,1,1,4,0,7,Southpaw,175.26,177.8,155,13.0,9.0,6.0,10.0,0,1,1.0
Jordan Mein,Alex Morono,2018-07-28,"Calgary, Alberta, Canada", Canada,Welterweight,MALE,3,0,Red,-150.0,130.0,66.6667,130.0,0,1,0,33.375,0.509,0.25,1.375,0.314,2,4,18,0,0,1,1,2,0,0,4,Orthodox,182.88,185.42,170,0,1,0,48.8,0.386,0.4,0.0,0.0,2,2,12,0,0,1,1,0,1,0,3,Orthodox,180.34,182.88,170,7.0,9.0,6.0,10.0,0,0,1.0
Hakeem Dawodu,Austin Arnett,2018-07-28,"Calgary, Alberta, Canada", Canada,Featherweight,MALE,3,0,Red,-470.0,375.0,21.2766,375.0,1,0,0,3.0,1.0,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,172.72,185.42,145,1,0,0,32.0,0.35,0.0,1.0,1.0,0,1,2,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,145,7.0,9.0,6.0,10.0,0,0,1.0
John Makdessi,Ross Pearson,2018-07-28,"Calgary, Alberta, Canada", Canada,Lightweight,MALE,3,0,Red,-235.0,195.0,42.5532,195.0,0,1,0,56.3571,0.486,0.0,0.0,0.0,3,6,33,0,0,1,4,3,0,0,8,Orthodox,172.72,172.72,155,0,1,0,42.625,0.417,0.0,0.625,0.333,3,12,62,1,0,2,5,4,0,1,12,Orthodox,172.72,175.26,155,7.0,9.0,6.0,10.0,0,0,1.0
Gadzhimurad Antigulov,Ion Cutelaba,2018-07-28,"Calgary, Alberta, Canada", Canada,Light Heavyweight,MALE,3,0,Blue,115.0,-135.0,115.0,74.0741,0,2,0,1.0,0.25,1.0,1.0,1.0,2,0,2,0,0,0,0,0,2,0,2,Orthodox,180.34,177.8,205,0,1,0,43.25,0.413,0.0,1.5,0.213,1,2,10,0,0,0,1,1,0,0,2,Southpaw,185.42,190.5,205,15.0,9.0,6.0,10.0,0,1,0.0
Alexis Davis,Katlyn Chookagian,2018-07-28,"Calgary, Alberta, Canada", Canada,Women's Flyweight,FEMALE,3,0,Blue,140.0,-160.0,140.0,62.5,0,2,0,34.75,0.439,1.125,0.625,0.29,3,2,20,1,0,2,3,0,1,0,6,Orthodox,167.64,172.72,125,0,2,0,60.0,0.288,0.25,0.0,0.0,2,1,12,0,0,1,2,0,0,0,3,Orthodox,175.26,172.72,125,3.0,7.0,6.0,10.0,0,0,0.0
Dustin Ortiz,Matheus Nicolau,2018-07-28,"Calgary, Alberta, Canada", Canada,Flyweight,MALE,3,0,Red,170.0,-200.0,170.0,50.0,0,2,0,38.0,0.469,0.0833,2.6667,0.304,2,5,33,0,0,3,1,3,0,0,7,Orthodox,165.1,165.1,125,0,3,0,58.0,0.523,1.6667,2.0,0.5,3,0,9,0,0,1,1,0,1,0,3,Orthodox,167.64,167.64,125,9.0,12.0,6.0,10.0,0,0,1.0
Randa Markos,Nina Ansaroff,2018-07-28,"Calgary, Alberta, Canada", Canada,Women's Strawweight,FEMALE,3,0,Blue,120.0,-140.0,120.0,71.4286,0,1,0,42.0,0.414,0.25,1.5,0.364,1,4,22,0,0,1,3,0,0,0,4,Orthodox,162.56,160.02,115,0,2,0,76.5,0.49,1.0,0.5,0.375,2,2,12,0,0,0,1,0,1,0,2,Orthodox,165.1,162.56,115,12.0,13.0,6.0,10.0,0,0,0.0
Devin Powell,Alvaro Herrera,2018-07-28,"Calgary, Alberta, Canada", Canada,Lightweight,MALE,3,0,Red,-105.0,-115.0,95.2381,86.9565,2,0,0,32.5,0.405,1.0,0.0,0.0,0,2,6,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,155,2,0,0,6.0,0.393,0.3333,0.0,0.0,1,2,4,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,7.0,9.0,6.0,10.0,0,0,1.0
Kajan Johnson,Islam Makhachev,2018-07-28,"Calgary, Alberta, Canada", Canada,Lightweight,MALE,3,0,Blue,450.0,-600.0,450.0,16.6667,0,4,0,33.0,0.452,0.2,1.8,0.242,4,1,15,0,0,1,2,1,0,0,4,Orthodox,180.34,190.5,155,0,3,0,18.8,0.554,0.6,2.4,0.52,3,1,10,0,0,0,2,1,1,0,4,Orthodox,177.8,177.8,155,7.0,9.0,6.0,10.0,0,0,0.0
Cub Swanson,Renato Moicano,2018-08-04,"Los Angeles, California, USA", USA,Featherweight,MALE,3,0,Blue,250.0,-300.0,250.0,33.3333,2,0,0,64.4667,0.486,0.1333,0.7333,0.404,6,5,45,0,0,0,6,4,0,0,10,Orthodox,172.72,177.8,145,0,1,0,77.4,0.472,0.2,1.0,0.38,3,1,14,0,0,2,1,0,1,0,4,Orthodox,180.34,182.88,145,5.0,10.0,6.0,10.0,0,0,0.0
Polyana Viana,Jj Aldrich,2018-08-04,"Los Angeles, California, USA", USA,Women's Strawweight,FEMALE,3,0,Blue,-155.0,135.0,64.5161,135.0,0,1,0,12.0,0.66,3.0,1.0,0.5,1,0,1,0,0,0,0,0,1,0,1,Orthodox,165.1,170.18,115,0,2,0,61.0,0.38,0.0,0.3333,0.067,2,1,9,0,0,0,2,0,0,0,2,Southpaw,165.1,170.18,125,7.0,9.0,6.0,10.0,0,1,0.0
Tj Dillashaw,Cody Garbrandt,2018-08-04,"Los Angeles, California, USA", USA,Bantamweight,MALE,5,1,Red,-125.0,105.0,80.0,105.0,0,3,0,68.5,0.394,0.8571,1.5,0.341,4,3,41,6,0,0,4,6,1,0,11,Orthodox,167.64,170.18,125,1,0,0,34.7143,0.366,0.0,0.7143,0.154,6,1,16,2,0,0,2,4,0,0,6,Orthodox,172.72,165.1,135,0.0,1.0,6.0,14.0,0,0,1.0
Demetrious Johnson,Henry Cejudo,2018-08-04,"Los Angeles, California, USA", USA,Flyweight,MALE,5,1,Blue,-470.0,375.0,21.2766,375.0,0,13,0,64.2353,0.549,0.7059,4.2941,0.473,13,2,64,13,0,1,7,2,5,0,15,Orthodox,160.02,167.64,125,0,2,0,46.375,0.443,0.125,2.0,0.539,4,2,21,1,0,1,4,1,0,0,6,Orthodox,162.56,162.56,135,0.0,1.0,2.0,10.0,0,0,0.0
Thiago Santos,Kevin Holland,2018-08-04,"Los Angeles, California, USA", USA,Middleweight,MALE,3,0,Red,-340.0,280.0,29.4118,280.0,1,0,0,24.0,0.446,0.0,0.1429,0.071,4,5,21,0,0,0,1,8,0,0,9,Orthodox,187.96,193.04,205,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Orthodox,190.5,205.74,185,13.0,9.0,6.0,10.0,0,0,1.0
Matt Sayles,Sheymon Moraes,2018-08-04,"Los Angeles, California, USA", USA,Featherweight,MALE,3,0,Blue,-140.0,120.0,71.4286,120.0,0,0,0,15.6667,0.46,0.3333,1.03,0.338,0,0,0,0,0,0,0,0,0,0,0,Orthodox,170.18,172.72,145,1,0,0,18.0,0.58,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,172.72,182.88,145,7.0,9.0,6.0,10.0,0,0,0.0
Ricky Simon,Montel Jackson,2018-08-04,"Los Angeles, California, USA", USA,Bantamweight,MALE,3,0,Red,105.0,-125.0,105.0,80.0,0,1,0,34.0,0.33,1.0,2.0,0.28,1,0,3,0,0,0,0,1,0,0,1,Orthodox,167.64,175.26,135,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,190.5,135,7.0,9.0,6.0,10.0,0,1,1.0
Danielle Taylor,Weili Zhang,2018-08-04,"Los Angeles, California, USA", USA,Women's Strawweight,FEMALE,3,0,Blue,260.0,-320.0,260.0,31.25,1,0,0,43.0,0.275,0.0,0.25,0.25,2,2,12,0,0,1,1,0,0,0,2,Orthodox,152.4,152.4,115,0,0,0,9.0,0.46,0.3,1.0,0.33,0,0,0,0,0,0,0,0,0,0,0,Switch,162.56,160.0,115,7.0,9.0,6.0,10.0,0,2,0.0
Alex Perez,Jose Torres,2018-08-04,"Los Angeles, California, USA", USA,Flyweight,MALE,3,0,Red,-120.0,100.0,83.3333,100.0,0,2,0,26.5,0.475,1.5,3.5,0.525,2,0,5,0,0,0,1,0,1,0,2,Orthodox,167.64,165.1,135,0,1,0,22.0,0.35,0.0,1.0,0.33,1,0,2,0,0,0,0,1,0,0,1,Orthodox,162.56,165.1,125,7.0,9.0,6.0,10.0,0,0,1.0
